recorded_at_utc,repo,stars,days_since_baseline
2026-09-09T01:07:12.817Z,KeWang0622/clonetax,0,0.00
2026-09-09T01:07:12.817Z,KeWang0622/cachebill,0,0.00
2026-09-09T08:06:43.594Z,KeWang0622/clonetax,0,0.29
2026-09-09T08:06:43.594Z,KeWang0622/cachebill,0,0.29
2026-09-10T08:06:05.959Z,KeWang0622/clonetax,0,1.29
2026-09-10T08:06:05.959Z,KeWang0622/cachebill,0,1.29
2026-09-11T08:01:02.926Z,KeWang0622/clonetax,0,2.29
2026-09-11T08:01:02.926Z,KeWang0622/cachebill,0,2.29
2026-09-12T07:53:18.087Z,KeWang0622/clonetax,0,3.28
2026-09-12T07:53:18.087Z,KeWang0622/cachebill,0,3.28
2026-09-13T08:16:25.420Z,KeWang0622/clonetax,0,4.30
2026-09-13T08:16:25.420Z,KeWang0622/cachebill,0,4.30
2026-09-14T08:51:53.631Z,KeWang0622/clonetax,0,5.32
2026-09-14T08:51:53.631Z,KeWang0622/cachebill,0,5.32
2026-09-15T08:38:27.399Z,KeWang0622/clonetax,0,6.32
2026-09-15T08:38:27.399Z,KeWang0622/cachebill,0,6.32
2026-09-16T08:33:04.078Z,KeWang0622/clonetax,0,7.31
2026-09-16T08:33:04.078Z,KeWang0622/cachebill,0,7.31
2026-09-17T08:37:03.172Z,KeWang0622/clonetax,0,8.31
2026-09-17T08:37:03.172Z,KeWang0622/cachebill,0,8.31
2026-09-18T08:12:27.526Z,KeWang0622/clonetax,0,9.30
2026-09-18T08:12:27.526Z,KeWang0622/cachebill,0,9.30
2026-09-19T08:00:38.682Z,KeWang0622/clonetax,0,10.29
2026-09-19T08:00:38.682Z,KeWang0622/cachebill,0,10.29
2026-09-20T08:33:04.604Z,KeWang0622/clonetax,0,11.31
2026-09-20T08:33:04.604Z,KeWang0622/cachebill,0,11.31
2026-09-21T08:53:32.529Z,KeWang0622/clonetax,0,12.33
2026-09-21T08:53:32.529Z,KeWang0622/cachebill,0,12.33
